Flow ID,Flow status,Flow date,Amount (USD),Source Organization,Source Location,Destination Organization,Destination Location
133132,Paid Contribution,01/01/2015,10863,Private (individuals & organizations),,World Food Programme,
133133,Paid Contribution,01/01/2015,3423,Private (individuals & organizations),,World Food Programme,
125452,Commitment,01/01/2015,563323,"Switzerland, Government of",Switzerland,,
125453,Commitment,01/01/2015,395137,"Switzerland, Government of",Switzerland,,
125454,Commitment,01/01/2015,1013171,"Switzerland, Government of",Switzerland,,Guinea
125456,Commitment,01/01/2015,202634,"Switzerland, Government of",Switzerland,UN Mission for Ebola Emergency Response,Liberia
124615,Paid Contribution,01/02/2015,47725,Private (individuals & organizations),,United Nations Children's Fund,Sierra Leone
124616,Paid Contribution,01/02/2015,2114033,World Bank,,United Nations Children's Fund,Sierra Leone
125526,Paid Contribution,01/02/2015,200000,US Fund for UNICEF,,United Nations Children's Fund,Liberia
125527,Paid Contribution,01/02/2015,285000,UNICEF National Committee/Switzerland,,United Nations Children's Fund,Sierra Leone
125528,Paid Contribution,01/02/2015,1440,Private (individuals & organizations),,United Nations Children's Fund,Sierra Leone
125529,Paid Contribution,01/02/2015,18091,Private (individuals & organizations),,United Nations Children's Fund,Sierra Leone
125530,Paid Contribution,01/02/2015,1292005,UNICEF National Committee/Germany,,United Nations Children's Fund,
125531,Paid Contribution,01/02/2015,1265,Private (individuals & organizations),,United Nations Children's Fund,
125532,Paid Contribution,01/02/2015,186619,UNICEF National Committee/Spain,,United Nations Children's Fund,
125533,Paid Contribution,01/02/2015,656348,UNICEF National Committee/United Kingdom,,United Nations Children's Fund,
125267,Commitment,01/02/2015,320652,"Switzerland, Government of",Switzerland,OXFAM,Liberia
127430,Paid Contribution,01/03/2015,41811,Private (individuals & organizations),,United Nations Children's Fund,
127432,Paid Contribution,01/03/2015,3381,Private (individuals & organizations),,United Nations Children's Fund,
119428,Paid Contribution,01/04/2014,75000,ExxonMobil,,Plan Liberia,Liberia
128771,Paid Contribution,01/04/2015,206835,UNICEF National Committee/Belgium,,United Nations Children's Fund,Liberia
130182,Paid Contribution,01/04/2015,24172,"Denmark, Government of",Denmark,World Food Programme,
133142,Paid Contribution,01/04/2015,72855,"Denmark, Government of",Denmark,World Food Programme,
118610,Paid Contribution,01/05/2014,3090480,African Development Bank,,World Health Organization,
131684,Paid Contribution,01/06/2015,3234,UNICEF National Committee/Netherlands,,United Nations Children's Fund,
120372,Paid Contribution,01/07/2014,682500,"Switzerland, Government of",Switzerland,NGOs (details not yet provided),Liberia
118838,Commitment,01/07/2014,525000,"Switzerland, Government of",Switzerland,Médecins sans Frontières - Switzerland,Liberia
131365,Commitment,01/07/2015,2796421,European Commission's Humanitarian Aid and Civil Protection Department,,World Food Programme,Guinea
119348,Paid Contribution,01/08/2014,45700,Private (individuals & organizations),,United Nations Children's Fund,Sierra Leone
119420,Paid Contribution,01/08/2014,2800000,Paul G. Allen,,American Red Cross,
120586,Paid Contribution,01/08/2014,1101928,"Canada, Government of",Canada,World Health Organization,
123554,Commitment,01/08/2014,3069395,"Canada, Government of",Canada,World Health Organization,
119331,Paid Contribution,01/09/2014,2000000,Bill and Melinda Gates Foundation,,United Nations Children's Fund,
119948,Paid Contribution,01/09/2014,20053,"Slovakia, Government of",Slovakia,World Health Organization,
119950,Paid Contribution,01/09/2014,17688,United Nations Development Programme,,World Health Organization,Malawi
119987,Paid Contribution,01/09/2014,658762,UNICEF National Committee/France,,United Nations Children's Fund,
119988,Paid Contribution,01/09/2014,69885,Private (individuals & organizations),,United Nations Children's Fund,Sierra Leone
119989,Paid Contribution,01/09/2014,29970,Private (individuals & organizations),,United Nations Children's Fund,Sierra Leone
123686,Paid Contribution,01/09/2014,21858,"Switzerland, Government of",Switzerland,United Nations Children's Fund,Liberia
130020,Paid Contribution,01/09/2014,832232,"Ireland, Government of",Ireland,United Nations Children's Fund,Sierra Leone
120539,Commitment,01/09/2014,815909,"United States of America, Government of",United States,Plan International,Guinea
120828,Commitment,01/09/2014,2827597,"Norway, Government of",Norway,African Union,
121576,Commitment,01/09/2014,12055336,"France, Government of",France,"Cote d'Ivoire, Government of",Côte d'Ivoire
121578,Commitment,01/09/2014,527009,"France, Government of",France,"Cameroon, Government of",Cameroon
122861,Commitment,01/09/2014,662580,"France, Government of",France,UN Mission for Ebola Emergency Response,
122862,Commitment,01/09/2014,42921200,"France, Government of",France,,Guinea
122863,Commitment,01/09/2014,8829921,"France, Government of",France,,Guinea
122865,Commitment,01/09/2014,4036830,"France, Government of",France,NGOs | UN Agencies,Guinea
122867,Commitment,01/09/2014,12760906,"France, Government of",France,,Guinea
122869,Commitment,01/09/2014,251112,"France, Government of",France,,Mali
122870,Commitment,01/09/2014,1472400,"France, Government of",France,,
128049,Commitment,01/09/2014,527009,"Ireland, Government of",Ireland,International Medical Corps,Liberia
